"","loan_status","loan_amnt","int_rate","grade","emp_length","home_ownership","annual_inc","age","emp_cat","ir_cat"
"124",0,22000,9.91,"B",2,"MORTGAGE",50000,22,"0-2","8-11"
"125",0,6000,14.27,"C",14,"MORTGAGE",94800,23,"8+","13.5+"
"126",1,2500,7.51,"A",NA,"OWN",12000,21,"Missing","0-8"
"127",0,13500,9.91,"B",2,"MORTGAGE",36000,30,"0-2","8-11"
"128",0,25000,12.42,"B",2,"RENT",225000,30,"0-2","11-13.5"
"129",0,10000,NA,"C",2,"RENT",45900,65,"0-2","Missing"
"130",0,2500,13.49,"C",4,"RENT",27200,26,"2-4","11-13.5"
"131",0,7325,12.69,"B",1,"RENT",42000,23,"0-2","11-13.5"
"132",0,4000,12.42,"B",5,"RENT",135000,28,"4-8","11-13.5"
"133",1,10000,13.49,"C",5,"RENT",65000,35,"4-8","11-13.5"
"134",1,7750,17.27,"D",0,"RENT",24000,24,"0-2","13.5+"
"135",0,9600,12.42,"B",11,"RENT",65000,30,"8+","11-13.5"
"136",0,14000,10.65,"B",3,"RENT",30000,21,"2-4","8-11"
"137",0,13350,12.42,"B",19,"RENT",43000,31,"8+","11-13.5"
"138",1,15000,16.77,"D",17,"RENT",42000,27,"8+","13.5+"
"139",1,15000,NA,"D",8,"RENT",75000,50,"4-8","Missing"
"140",0,35000,10.65,"B",2,"MORTGAGE",168000,25,"0-2","8-11"
"141",0,9000,NA,"B",9,"MORTGAGE",74000,22,"8+","Missing"
"142",1,16000,12.69,"B",1,"RENT",58500,22,"0-2","11-13.5"
"143",0,13500,12.69,"B",5,"RENT",71000,26,"4-8","11-13.5"
"144",0,24000,12.69,"B",13,"RENT",75000,22,"8+","11-13.5"
"145",0,12000,10.65,"B",5,"RENT",60000,26,"4-8","8-11"
"146",0,14000,6.62,"A",31,"RENT",66000,26,"8+","0-8"
"147",1,12000,NA,"C",8,"MORTGAGE",70000,33,"4-8","Missing"
"148",0,25000,11.71,"B",12,"MORTGAGE",1e+05,23,"8+","11-13.5"
"149",0,9000,12.69,"B",5,"RENT",50000,25,"4-8","11-13.5"
"150",0,13250,10.65,"B",4,"RENT",35000,28,"2-4","8-11"
"151",0,20000,13.49,"C",6,"RENT",75000,28,"4-8","11-13.5"
"152",0,3000,14.65,"C",5,"RENT",71000,22,"4-8","13.5+"
"153",0,7350,10.65,"B",16,"MORTGAGE",48000,21,"8+","8-11"
"154",0,11500,15.27,"C",5,"RENT",36000,30,"4-8","13.5+"
"155",1,13650,12.42,"B",16,"MORTGAGE",86000,32,"8+","11-13.5"
"156",1,10500,16.29,"D",3,"RENT",30000,25,"2-4","13.5+"
"157",0,12000,9.91,"B",2,"RENT",60000,28,"0-2","8-11"
"158",0,6000,8.9,"A",3,"RENT",34000,27,"2-4","8-11"
"159",0,11500,15.27,"C",25,"MORTGAGE",44200,27,"8+","13.5+"
"160",0,7000,12.42,"B",7,"MORTGAGE",82000,26,"4-8","11-13.5"
"161",0,2000,15.27,"C",2,"RENT",41000,27,"0-2","13.5+"
"162",0,11625,13.49,"C",0,"MORTGAGE",36000,22,"0-2","11-13.5"
"163",1,15075,NA,"C",14,"RENT",35000,31,"8+","Missing"
"164",0,5300,15.27,"C",1,"RENT",30000,25,"0-2","13.5+"
"165",0,8200,6.62,"A",0,"RENT",40000,26,"0-2","0-8"
"166",0,12000,NA,"B",9,"MORTGAGE",105000,25,"8+","Missing"
"167",0,8650,14.27,"C",4,"MORTGAGE",45000,23,"2-4","13.5+"
"168",0,12000,12.42,"B",2,"RENT",83000,31,"0-2","11-13.5"
"169",1,9500,12.69,"B",0,"MORTGAGE",52500,22,"0-2","11-13.5"
"170",0,7400,NA,"C",0,"OWN",25000,26,"0-2","Missing"
"171",0,14400,13.49,"C",19,"MORTGAGE",60000,28,"8+","11-13.5"
"172",1,7200,7.9,"A",3,"RENT",68000,23,"2-4","0-8"
"173",0,4000,7.51,"A",0,"RENT",65000,24,"0-2","0-8"
"174",0,1500,17.27,"D",11,"MORTGAGE",144000,24,"8+","13.5+"
"175",0,19600,12.42,"B",2,"RENT",75000,22,"0-2","11-13.5"
"176",0,2500,11.71,"B",7,"MORTGAGE",29000,54,"4-8","11-13.5"
"177",1,10000,12.69,"B",2,"RENT",70000,22,"0-2","11-13.5"
"178",0,10000,6.62,"A",5,"RENT",45000,21,"4-8","0-8"
"179",0,4225,12.42,"B",5,"MORTGAGE",55200,25,"4-8","11-13.5"
"180",0,3500,7.9,"A",7,"MORTGAGE",61440,35,"4-8","0-8"
"181",0,12000,NA,"A",27,"MORTGAGE",56000,24,"8+","Missing"
"182",0,16500,NA,"A",0,"RENT",47000,26,"0-2","Missing"
"183",0,12000,NA,"C",1,"RENT",71000,29,"0-2","Missing"
"184",0,10800,NA,"B",8,"RENT",135000,28,"4-8","Missing"
"185",0,14000,12.42,"B",12,"MORTGAGE",63000,25,"8+","11-13.5"
"186",0,6000,13.49,"C",5,"MORTGAGE",50000,35,"4-8","11-13.5"
"187",0,12000,9.91,"B",5,"RENT",80000,24,"4-8","8-11"
"188",0,10000,12.42,"B",4,"RENT",45000,29,"2-4","11-13.5"
"189",0,8000,7.9,"A",2,"RENT",78000,31,"0-2","0-8"
"190",0,14125,9.91,"B",1,"RENT",33000,25,"0-2","8-11"
"191",0,14000,12.69,"B",5,"RENT",62800,24,"4-8","11-13.5"
"192",0,4000,19.03,"E",19,"MORTGAGE",80000,25,"8+","13.5+"
"193",1,4000,12.69,"B",2,"RENT",25000,22,"0-2","11-13.5"
"194",0,10500,6.03,"A",12,"MORTGAGE",65000,23,"8+","0-8"
"195",0,5500,7.9,"A",23,"OWN",59000,34,"8+","0-8"
"196",0,7350,11.71,"B",1,"RENT",33000,24,"0-2","11-13.5"
"197",1,10000,12.42,"B",10,"RENT",39000,22,"8+","11-13.5"
"198",0,12000,7.51,"A",13,"RENT",42000,32,"8+","0-8"
"199",0,4500,8.9,"A",20,"MORTGAGE",50700,24,"8+","8-11"
"200",0,18000,12.42,"B",1,"OWN",75000,29,"0-2","11-13.5"
"201",0,12000,13.49,"C",6,"RENT",40000,24,"4-8","11-13.5"
"202",0,10000,13.49,"C",10,"MORTGAGE",50000,25,"8+","11-13.5"
"203",0,6000,7.9,"A",7,"MORTGAGE",80000,25,"4-8","0-8"
"204",0,12000,12.69,"B",4,"RENT",40000,27,"2-4","11-13.5"
"205",1,12000,8.9,"A",7,"RENT",80000,30,"4-8","8-11"
"206",0,7000,11.71,"B",2,"RENT",75000,29,"0-2","11-13.5"
"207",0,1400,7.9,"A",1,"RENT",28800,29,"0-2","0-8"
"208",0,3200,9.91,"B",9,"RENT",61200,26,"8+","8-11"
"209",0,8000,7.9,"A",1,"RENT",40000,22,"0-2","0-8"
"210",0,5000,6.03,"A",9,"MORTGAGE",54000,22,"8+","0-8"
"211",0,1800,6.62,"A",16,"RENT",18000,21,"8+","0-8"
"212",0,35000,8.9,"A",5,"RENT",85000,37,"4-8","8-11"
"213",0,18000,8.9,"A",5,"RENT",78000,34,"4-8","8-11"
"214",1,14000,7.9,"A",11,"OWN",45600,23,"8+","0-8"
"215",0,5000,12.42,"B",2,"RENT",70000,38,"0-2","11-13.5"
"216",0,8000,15.96,"C",4,"RENT",70000,25,"2-4","13.5+"
"217",0,10000,NA,"A",9,"MORTGAGE",80000,24,"8+","Missing"
"218",0,10000,7.51,"A",5,"RENT",50000,23,"4-8","0-8"
"219",0,12000,12.42,"B",10,"MORTGAGE",35000,23,"8+","11-13.5"
"220",0,23200,7.9,"A",3,"MORTGAGE",65000,31,"2-4","0-8"
"221",0,4800,15.27,"C",29,"MORTGAGE",75000,25,"8+","13.5+"
"222",0,7300,11.71,"B",6,"RENT",35000,29,"4-8","11-13.5"
"223",0,10400,9.91,"B",6,"RENT",40000,25,"4-8","8-11"
"224",0,6600,9.91,"B",1,"MORTGAGE",1e+05,24,"0-2","8-11"
"225",0,12000,8.9,"A",7,"OWN",40000,21,"4-8","8-11"
"226",0,13250,17.27,"D",11,"RENT",52000,29,"8+","13.5+"
"227",0,12000,11.71,"B",3,"RENT",92500,26,"2-4","11-13.5"
"228",0,25000,9.91,"B",9,"RENT",61000,28,"8+","8-11"
"229",0,6000,NA,"B",16,"RENT",36000,25,"8+","Missing"
"230",0,12000,7.51,"A",18,"MORTGAGE",68000,23,"8+","0-8"
"231",0,14400,11.71,"B",1,"RENT",80000,22,"0-2","11-13.5"
"232",0,10000,12.42,"B",15,"RENT",43000,27,"8+","11-13.5"
"233",0,8000,11.71,"B",1,"RENT",150000,28,"0-2","11-13.5"
"234",1,8000,16.29,"D",5,"RENT",50000,21,"4-8","13.5+"
"235",0,13250,11.71,"B",2,"OWN",35000,37,"0-2","11-13.5"
"236",0,14000,14.27,"C",6,"RENT",80000,34,"4-8","13.5+"
"237",0,10000,16.29,"D",15,"RENT",40000,38,"8+","13.5+"
"238",0,4000,6.03,"A",1,"RENT",55000,45,"0-2","0-8"
"239",0,13000,9.91,"B",6,"RENT",110000,40,"4-8","8-11"
"240",0,28000,12.69,"B",5,"RENT",1e+05,25,"4-8","11-13.5"
"241",0,10000,13.49,"C",3,"RENT",62000,23,"2-4","11-13.5"
"242",0,20000,7.9,"A",0,"RENT",45000,22,"0-2","0-8"
"243",0,18000,9.91,"B",5,"RENT",110000,27,"4-8","8-11"
"244",0,10000,11.71,"B",3,"RENT",33000,26,"2-4","11-13.5"
"245",0,4200,6.03,"A",3,"RENT",61000,23,"2-4","0-8"
"246",0,24000,16.29,"D",2,"RENT",50964,21,"0-2","13.5+"
"247",0,4475,15.27,"C",3,"RENT",43680,28,"2-4","13.5+"
"248",0,12000,12.42,"B",5,"RENT",50700,29,"4-8","11-13.5"
"249",1,5000,12.42,"B",2,"RENT",30000,26,"0-2","11-13.5"
"250",0,3000,6.03,"A",5,"RENT",50000,25,"4-8","0-8"
"251",1,12000,9.91,"B",17,"RENT",55000,45,"8+","8-11"
"252",0,20000,15.27,"C",13,"MORTGAGE",50000,25,"8+","13.5+"
"253",0,10000,NA,"C",3,"RENT",84000,25,"2-4","Missing"
"254",0,15000,12.42,"B",6,"OWN",155000,32,"4-8","11-13.5"
"255",0,12000,7.9,"A",0,"MORTGAGE",62000,26,"0-2","0-8"
"256",0,6300,11.71,"B",2,"RENT",30000,21,"0-2","11-13.5"
"257",1,10000,11.71,"B",5,"RENT",32000,42,"4-8","11-13.5"
"258",1,24000,8.9,"A",17,"MORTGAGE",116400,32,"8+","8-11"
"259",0,14400,12.69,"B",9,"MORTGAGE",40000,22,"8+","11-13.5"
"260",0,6000,14.65,"C",7,"RENT",34000,32,"4-8","13.5+"
"261",0,22000,15.96,"C",5,"MORTGAGE",73000,22,"4-8","13.5+"
"262",1,12000,NA,"B",17,"RENT",57200,28,"8+","Missing"
"263",0,16000,16.77,"D",0,"MORTGAGE",114000,33,"0-2","13.5+"
"264",0,10000,10.65,"B",14,"MORTGAGE",90000,29,"8+","8-11"
"265",1,10000,12.69,"B",2,"RENT",35000,27,"0-2","11-13.5"
"266",0,3500,NA,"C",7,"RENT",56000,23,"4-8","Missing"
"267",0,9600,9.91,"B",5,"RENT",35000,25,"4-8","8-11"
"268",0,9875,7.9,"A",15,"MORTGAGE",40000,22,"8+","0-8"
"269",0,4800,7.9,"A",6,"RENT",48000,23,"4-8","0-8"
"270",0,7800,6.03,"A",12,"OWN",85000,30,"8+","0-8"
"271",0,20000,14.27,"C",11,"MORTGAGE",70000,26,"8+","13.5+"
"272",1,9750,7.51,"A",4,"RENT",35000,27,"2-4","0-8"
"273",0,5000,6.03,"A",9,"MORTGAGE",30000,25,"8+","0-8"
"274",0,9000,14.65,"C",4,"RENT",45000,28,"2-4","13.5+"
"275",0,7200,7.9,"A",1,"RENT",55000,25,"0-2","0-8"
"276",0,25000,15.27,"C",8,"OWN",82000,24,"4-8","13.5+"
"277",0,10000,15.96,"C",13,"RENT",53000,33,"8+","13.5+"
"278",1,8875,12.69,"B",5,"MORTGAGE",35360,25,"4-8","11-13.5"
"279",0,15550,11.71,"B",13,"RENT",54000,23,"8+","11-13.5"
"280",0,7500,12.69,"B",5,"RENT",65000,29,"4-8","11-13.5"
"281",0,8875,8.9,"A",6,"OWN",28800,22,"4-8","8-11"
"282",0,4500,17.27,"D",1,"RENT",42000,21,"0-2","13.5+"
"283",0,5800,12.42,"B",3,"RENT",36000,27,"2-4","11-13.5"
"284",0,10000,11.71,"B",2,"RENT",40000,21,"0-2","11-13.5"
"285",0,10000,9.91,"B",4,"RENT",50000,35,"2-4","8-11"
"286",0,14000,11.71,"B",1,"RENT",52000,39,"0-2","11-13.5"
"287",1,12000,NA,"A",3,"RENT",32000,29,"2-4","Missing"
"288",0,24000,7.9,"A",6,"OWN",75000,23,"4-8","0-8"
"289",0,14000,14.27,"C",0,"RENT",80000,23,"0-2","13.5+"
"290",0,12000,8.9,"A",7,"MORTGAGE",40246,38,"4-8","8-11"
"291",1,8050,12.69,"B",1,"RENT",36000,22,"0-2","11-13.5"
"292",0,5600,10.65,"B",6,"RENT",60000,22,"4-8","8-11"
"293",0,7500,9.91,"B",3,"RENT",31200,22,"2-4","8-11"
"294",0,7000,11.71,"B",15,"RENT",90000,35,"8+","11-13.5"
"295",0,5400,7.9,"A",4,"RENT",40000,29,"2-4","0-8"
"296",0,16000,12.42,"B",1,"RENT",90000,27,"0-2","11-13.5"
"297",0,9800,16.29,"D",4,"RENT",67000,39,"2-4","13.5+"
"298",0,5000,6.62,"A",1,"RENT",276000,28,"0-2","0-8"
"299",0,9900,11.71,"B",6,"RENT",26400,22,"4-8","11-13.5"
"300",0,4000,11.71,"B",NA,"RENT",24000,25,"Missing","11-13.5"
"301",0,15000,11.71,"B",3,"MORTGAGE",68400,31,"2-4","11-13.5"
"302",0,6250,15.96,"C",1,"RENT",29120,25,"0-2","13.5+"
"303",0,6400,16.29,"D",0,"RENT",29120,25,"0-2","13.5+"
"304",0,12000,15.27,"C",4,"MORTGAGE",54000,32,"2-4","13.5+"
"305",0,15000,NA,"A",5,"MORTGAGE",30000,28,"4-8","Missing"
"306",0,6500,14.27,"C",4,"MORTGAGE",30000,25,"2-4","13.5+"
"307",0,8000,15.96,"C",16,"RENT",50000,24,"8+","13.5+"
"308",0,15000,14.65,"C",11,"MORTGAGE",100500,27,"8+","13.5+"
"309",0,10200,NA,"C",3,"RENT",40000,26,"2-4","Missing"
"310",0,9000,12.42,"B",5,"MORTGAGE",47000,28,"4-8","11-13.5"
"311",0,6500,16.29,"D",3,"MORTGAGE",68000,25,"2-4","13.5+"
"312",0,2000,7.9,"A",4,"RENT",39600,27,"2-4","0-8"
"313",0,8000,13.49,"C",3,"OWN",30000,22,"2-4","11-13.5"
"314",0,8875,7.51,"A",1,"RENT",30000,25,"0-2","0-8"
"315",1,1500,18.64,"E",0,"RENT",17000,21,"0-2","13.5+"
"316",0,8000,12.42,"B",3,"RENT",42000,31,"2-4","11-13.5"
"317",0,6500,11.71,"B",4,"RENT",42000,20,"2-4","11-13.5"
"318",0,9600,13.49,"C",3,"MORTGAGE",27000,21,"2-4","11-13.5"
"319",0,10000,7.9,"A",5,"MORTGAGE",46000,40,"4-8","0-8"
"320",0,15000,12.42,"B",17,"MORTGAGE",80000,23,"8+","11-13.5"
"321",0,9000,6.62,"A",3,"MORTGAGE",45000,25,"2-4","0-8"
"322",0,10000,7.9,"A",2,"RENT",72500,36,"0-2","0-8"
"323",1,1000,14.65,"C",NA,"RENT",18408,51,"Missing","13.5+"
"324",0,14000,7.9,"A",2,"RENT",30000,24,"0-2","0-8"
"325",1,8500,14.27,"C",9,"RENT",50000,25,"8+","13.5+"
"326",0,4500,15.96,"C",5,"MORTGAGE",65000,28,"4-8","13.5+"
"327",0,3000,7.51,"A",18,"MORTGAGE",65000,27,"8+","0-8"
"328",0,10000,9.91,"B",4,"MORTGAGE",120000,25,"2-4","8-11"
"329",0,7200,15.27,"C",4,"RENT",54990,25,"2-4","13.5+"
"330",0,23000,7.9,"A",2,"MORTGAGE",137000,50,"0-2","0-8"
"331",0,7000,8.9,"A",1,"RENT",46000,34,"0-2","8-11"
"332",0,21000,12.69,"B",8,"MORTGAGE",135000,24,"4-8","11-13.5"
"333",0,8250,7.51,"A",NA,"MORTGAGE",31500,25,"Missing","0-8"
"334",0,13000,NA,"B",13,"RENT",65000,31,"8+","Missing"
"335",0,18000,6.62,"A",2,"MORTGAGE",78000,29,"0-2","0-8"
"336",0,7200,6.03,"A",5,"MORTGAGE",60000,31,"4-8","0-8"
"337",0,16500,8.9,"A",11,"RENT",48000,22,"8+","8-11"
"338",0,8125,7.9,"A",0,"RENT",25000,21,"0-2","0-8"
"339",0,18800,7.51,"A",3,"MORTGAGE",82000,35,"2-4","0-8"
"340",0,26800,NA,"E",13,"MORTGAGE",82000,42,"8+","Missing"
"341",0,19200,7.9,"A",5,"MORTGAGE",42000,24,"4-8","0-8"
"342",0,4000,12.42,"B",5,"MORTGAGE",38000,23,"4-8","11-13.5"
"343",0,4000,16.29,"D",4,"RENT",35000,25,"2-4","13.5+"
"344",0,12000,9.91,"B",13,"OWN",33000,22,"8+","8-11"
"345",0,2625,11.71,"B",11,"MORTGAGE",52800,23,"8+","11-13.5"
"346",0,7000,9.91,"B",17,"RENT",73882,39,"8+","8-11"
"347",0,11300,12.69,"B",7,"MORTGAGE",36000,23,"4-8","11-13.5"
"348",0,4000,NA,"B",19,"MORTGAGE",130000,30,"8+","Missing"
"349",0,8000,6.03,"A",24,"MORTGAGE",57200,21,"8+","0-8"
"350",1,14400,NA,"D",5,"RENT",51871,24,"4-8","Missing"
"351",0,4375,12.42,"B",2,"OWN",15000,28,"0-2","11-13.5"
"352",0,4100,7.51,"A",9,"MORTGAGE",70197,32,"8+","0-8"
"353",0,6000,8.9,"A",7,"RENT",47000,24,"4-8","8-11"
"354",0,4000,NA,"A",6,"MORTGAGE",120000,44,"4-8","Missing"
"355",1,3000,10.65,"B",13,"MORTGAGE",86004,25,"8+","8-11"
"356",0,5400,12.69,"B",12,"MORTGAGE",75000,23,"8+","11-13.5"
"357",1,15000,16.29,"D",1,"RENT",110000,60,"0-2","13.5+"
"358",0,10400,12.69,"B",4,"RENT",44000,24,"2-4","11-13.5"
"359",0,11500,12.42,"B",0,"RENT",38500,27,"0-2","11-13.5"
